Period,Settlement Date,GUP_Name,Raw_DOI,Raw_DOI1,Raw_DOI2,Raw_DOI3,Raw_Total_ATG,Total_PostLA,Total_PostDTC,TotalActualReq
201201,2012/01/03,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,3423163730.20,3391243827.29,5611260804.78,"$12,425,668,362.27 ","$7,862,925,324.10 ","$4,455,587,790.52 ","$2,177,047,540.00 "
201201,2012/01/04,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,3506933880.38,6517701464.20,4449127660.22,"$14,473,763,004.80 ","$8,761,235,126.81 ","$5,060,962,838.15 ","$3,463,464,039.00 "
201201,2012/01/05,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,6697865044.66,5319427205.97,4214254749.28,"$16,231,546,999.91 ","$10,963,774,399.76 ","$8,264,009,589.70 ","$3,201,947,792.00 "
201201,2012/01/06,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,5513761521.78,5595614095.51,4354398293.02,"$15,463,773,910.31 ","$9,407,002,630.82 ","$6,134,981,269.52 ","$3,224,920,056.00 "
201201,2012/01/09,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,5695560657.16,5412494993.47,3822259085.72,"$14,930,314,736.35 ","$9,302,209,738.38 ","$6,526,155,163.54 ","$3,204,688,135.00 "
201201,2012/01/10,"THE GOLDMAN SACHS GROUP, INC.","$32,172,502.81 ",5568842464.22,5074349455.56,4127279398.94,"$14,802,643,821.53 ","$9,527,117,216.59 ","$6,719,118,820.17 ","$3,187,979,153.00 "
201201,2012/01/11,"THE GOLDMAN SACHS GROUP, INC.","$270,546,407.15 ",5159026644.67,5069369803.99,3768771580.93,"$14,267,714,436.74 ","$8,855,184,192.79 ","$5,825,097,783.76 ","$3,464,042,533.00 "
201201,2012/01/12,"THE GOLDMAN SACHS GROUP, INC.","$183,132,398.54 ",5289181307.75,4847258293.31,3339885131.20,"$13,659,457,130.80 ","$8,278,470,352.40 ","$6,284,542,776.00 ","$3,302,825,686.00 "
201201,2012/01/13,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,5065260763.16,4457036059.09,3567257855.07,"$13,089,554,677.32 ","$7,287,355,220.30 ","$5,222,678,198.54 ","$3,237,255,123.00 "
201201,2012/01/17,"THE GOLDMAN SACHS GROUP, INC.","$72,175,996.92 ",4690764658.70,4628278241.34,4043615854.59,"$13,434,834,751.55 ","$7,267,973,295.98 ","$5,046,755,485.90 ","$3,127,371,480.00 "
201201,2012/01/18,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,4767887004.76,4951995022.48,3847222614.97,"$13,567,104,642.21 ","$6,789,428,034.75 ","$5,057,656,104.16 ","$3,283,208,784.00 "
201201,2012/01/19,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,5122849288.89,4756989656.30,3827627414.20,"$13,707,466,359.39 ","$7,963,221,755.59 ","$5,362,524,672.93 ","$3,466,569,521.00 "
201201,2012/01/20,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,4771346216.69,5366515750.94,14555903571.72,"$24,693,765,539.35 ","$15,645,884,807.45 ","$9,785,582,066.48 ","$3,888,203,688.00 "
201201,2012/01/23,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,5497525976.92,15196804214.49,4532264824.67,"$25,226,595,016.08 ","$16,669,746,101.05 ","$10,493,200,231.47 ","$5,025,564,372.00 "
201201,2012/01/24,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,15239245555.14,5127547918.71,3869151355.83,"$24,235,944,829.68 ","$16,910,464,330.51 ","$14,413,039,535.55 ","$4,348,403,562.00 "
201201,2012/01/25,"THE GOLDMAN SACHS GROUP, INC.","$3,151,646,532.06 ",5171429157.08,5070044801.46,4281042558.37,"$17,674,163,048.97 ","$11,952,002,600.35 ","$8,960,864,536.09 ","$4,035,136,344.00 "
201201,2012/01/26,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,5267170721.70,5897833201.87,5151461635.44,"$16,316,465,559.01 ","$10,944,506,325.82 ","$7,143,313,682.76 ","$3,306,447,357.00 "
201201,2012/01/27,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,6025308552.47,6400148768.88,4885040845.51,"$17,310,498,166.86 ","$10,710,848,536.78 ","$7,676,208,817.01 ","$3,215,881,245.00 "
201201,2012/01/30,"THE GOLDMAN SACHS GROUP, INC.","$297,848,683.77 ",6520597756.80,6294868009.62,4041733173.73,"$17,155,047,623.92 ","$10,916,677,964.40 ","$8,170,520,112.52 ","$3,165,561,918.00 "
201201,2012/01/31,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,6457172383.31,5376899712.73,4008769949.51,"$15,842,842,045.55 ","$10,106,265,467.63 ","$7,445,941,313.71 ","$3,337,964,232.00 "
201202,2012/02/01,"THE GOLDMAN SACHS GROUP, INC.","$666,354,609.24 ",5469284390.55,5348438342.89,5965032858.63,"$17,449,110,201.31 ","$10,722,805,018.34 ","$6,789,988,859.44 ","$3,110,852,979.00 "
201202,2012/02/02,"THE GOLDMAN SACHS GROUP, INC.","$183,701,328.53 ",5467193661.30,7416844035.14,5123206652.40,"$18,190,945,677.37 ","$11,392,288,160.94 ","$5,743,722,219.01 ","$3,191,472,849.00 "
201202,2012/02/03,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,7609971629.77,6709662291.00,5053890527.96,"$19,373,524,448.73 ","$12,433,264,534.08 ","$8,173,871,111.28 ","$3,531,571,932.00 "
201202,2012/02/06,"THE GOLDMAN SACHS GROUP, INC.","$693,084,277.80 ",6768048437.03,6741544623.66,4163932629.22,"$18,366,609,967.71 ","$11,961,407,677.55 ","$7,760,978,122.13 ","$4,458,112,676.00 "
201202,2012/02/07,MORGAN STANLEY,"$511,624,430.21 ",7495489551.91,4376454642.44,3995984294.90,"$16,379,552,919.46 ","$10,978,696,152.78 ","$7,168,144,040.33 ","$3,464,699,122.00 "
201202,2012/02/08,"THE GOLDMAN SACHS GROUP, INC.","$799,117,489.29 ",5309990008.12,4930689912.05,3767213667.06,"$14,807,011,076.52 ","$8,745,340,702.41 ","$6,808,250,742.96 ","$2,905,999,662.00 "
201202,2012/02/09,MORGAN STANLEY,$0.00 ,4541098821.70,5257465772.08,4506827976.07,"$14,305,392,569.85 ","$9,873,266,751.67 ","$3,587,249,966.00 ","$2,821,721,889.00 "
201202,2012/02/10,"THE GOLDMAN SACHS GROUP, INC.","$16,940,008.85 ",5160238662.35,5162541366.80,4243135292.64,"$14,582,855,330.64 ","$9,371,596,565.35 ","$6,248,883,039.62 ","$3,320,613,106.00 "
201202,2012/02/13,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,5257513422.24,5229255081.62,3514312183.07,"$14,001,080,686.93 ","$9,114,999,683.74 ","$6,493,093,802.74 ","$3,256,125,009.00 "
201202,2012/02/14,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,5365966751.50,4376468684.78,4509040703.25,"$14,251,476,139.53 ","$8,493,906,703.69 ","$6,379,307,956.91 ","$2,760,889,723.00 "
201202,2012/02/15,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,4325983471.50,5252069509.43,4174639057.12,"$13,752,692,038.05 ","$7,883,471,485.43 ","$5,871,678,076.35 ","$2,558,237,215.00 "
201202,2012/02/16,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,5360596910.74,5253909325.31,4267520735.19,"$14,882,026,971.24 ","$8,588,454,225.87 ","$6,142,523,816.01 ","$2,720,751,359.00 "
201202,2012/02/17,"THE GOLDMAN SACHS GROUP, INC.","$231,403,018.42 ",5359031538.25,6320326115.19,9327687408.06,"$21,238,448,079.92 ","$13,943,419,978.65 ","$9,591,442,622.92 ","$2,943,822,945.00 "
201202,2012/02/21,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,6446041300.27,10159453507.53,3736270661.46,"$20,341,765,469.26 ","$13,170,939,453.67 ","$9,481,025,123.36 ","$3,910,201,703.00 "
201202,2012/02/22,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,10371758121.00,4909238677.00,3934506507.10,"$19,215,503,305.10 ","$12,815,994,461.98 ","$10,971,776,505.85 ","$3,679,031,187.00 "
201202,2012/02/23,"THE GOLDMAN SACHS GROUP, INC.","$1,428,186,692.96 ",5053711523.80,5098451124.86,5240843742.69,"$16,821,193,084.31 ","$10,690,909,228.40 ","$8,120,430,894.01 ","$3,277,243,746.00 "
201202,2012/02/24,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,5189263503.40,6002568988.79,4230486857.60,"$15,422,319,349.79 ","$9,802,300,362.80 ","$6,831,588,908.54 ","$2,938,268,229.00 "
201202,2012/02/27,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,6092989610.35,5256138538.96,4231227406.11,"$15,580,355,555.42 ","$9,478,931,268.51 ","$6,894,080,911.87 ","$2,731,264,518.00 "
201202,2012/02/28,"THE GOLDMAN SACHS GROUP, INC.","$562,716,335.68 ",5358648194.51,5016276537.83,4201347729.36,"$15,138,988,797.38 ","$8,987,531,307.09 ","$6,754,444,528.72 ","$2,697,639,555.00 "
201202,2012/02/29,"THE GOLDMAN SACHS GROUP, INC.","$46,940,925.19 ",5112965230.76,5005462376.56,5358915941.74,"$15,524,284,474.25 ","$8,979,494,904.93 ","$6,165,285,118.71 ","$2,577,311,943.00 "
201203,2012/03/01,"THE GOLDMAN SACHS GROUP, INC.","$42,155,555.25 ",5099278234.54,6525729070.15,4506851526.95,"$16,174,014,386.89 ","$10,123,253,393.21 ","$6,479,453,793.53 ","$2,792,594,924.00 "
201203,2012/03/02,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,6851363182.72,5192370597.90,3981914823.04,"$16,025,648,603.66 ","$10,205,748,043.44 ","$7,685,011,648.54 ","$2,850,263,446.00 "
201203,2012/03/05,"THE GOLDMAN SACHS GROUP, INC.","$715,042,234.32 ",5357812941.09,5052878827.87,4362980920.16,"$15,488,714,923.44 ","$10,217,317,790.31 ","$7,344,010,747.30 ","$2,875,678,050.00 "
201203,2012/03/06,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,5160149177.00,5271717407.64,5480449292.48,"$15,912,315,877.12 ","$10,771,027,894.30 ","$7,679,529,150.39 ","$2,842,795,366.00 "
201203,2012/03/07,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,5413527282.40,6730519901.23,3463884009.31,"$15,607,931,192.94 ","$10,318,566,413.18 ","$7,168,502,429.90 ","$3,596,210,000.00 "
201203,2012/03/08,"THE GOLDMAN SACHS GROUP, INC.","$222,870,825.93 ",6825477539.45,4751849252.01,4168688565.47,"$15,968,886,182.86 ","$9,519,652,211.16 ","$6,239,812,555.05 ","$3,127,340,728.00 "
201203,2012/03/09,"THE GOLDMAN SACHS GROUP, INC.","$363,178,375.03 ",4890830650.78,5358072879.42,5224134887.38,"$15,836,216,792.61 ","$10,303,138,524.81 ","$5,589,351,600.42 ","$2,875,609,857.00 "
201203,2012/03/12,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,5447231265.50,6132914193.96,5392548899.01,"$16,972,694,358.47 ","$8,963,350,577.13 ","$5,827,216,338.32 ","$3,112,796,756.00 "
201203,2012/03/13,"THE GOLDMAN SACHS GROUP, INC.","$527,211,068.07 ",6216581586.25,6152465501.35,4850326468.10,"$17,746,584,623.77 ","$8,939,193,634.18 ","$7,200,757,273.99 ","$2,929,252,188.00 "
201203,2012/03/14,"THE GOLDMAN SACHS GROUP, INC.","$227,494,610.51 ",6223419608.87,6091803951.25,4589700539.99,"$17,132,418,710.62 ","$10,753,625,441.17 ","$7,674,839,836.25 ","$2,856,107,373.00 "
201203,2012/03/15,"THE GOLDMAN SACHS GROUP, INC.","$3,558,204.61 ",6222018533.81,5736227050.29,6457708398.37,"$18,419,512,187.08 ","$12,806,011,297.94 ","$7,631,706,620.81 ","$2,940,581,984.00 "
201203,2012/03/16,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,5853741894.09,7536429770.70,11787594123.63,"$25,177,765,788.42 ","$16,268,950,377.28 ","$12,523,053,860.39 ","$3,669,430,462.00 "
201203,2012/03/19,"THE GOLDMAN SACHS GROUP, INC.","$96,125,956.46 ",7661378714.20,12322832957.08,4494979479.62,"$24,575,317,107.36 ","$16,763,788,441.09 ","$13,543,808,121.05 ","$4,162,530,497.00 "
201203,2012/03/20,BANK OF AMERICA CORPORATION,"$462,143,890.93 ",12353298992.67,6344357376.68,3668497228.64,"$22,828,297,488.92 ","$13,861,337,720.21 ","$13,015,637,336.82 ","$4,163,702,802.00 "
201203,2012/03/21,"THE GOLDMAN SACHS GROUP, INC.","$2,632,956,730.55 ",5238837250.38,5148625088.56,3934154474.27,"$16,954,573,543.76 ","$12,014,560,818.57 ","$9,450,815,093.65 ","$3,961,660,586.00 "
201203,2012/03/22,"THE GOLDMAN SACHS GROUP, INC.","$20,675,808.72 ",5253204439.57,4909854443.12,4069334296.92,"$14,253,068,988.33 ","$9,814,053,086.36 ","$7,044,190,954.04 ","$3,221,294,928.00 "
201203,2012/03/23,"THE GOLDMAN SACHS GROUP, INC.","$438,364,912.37 ",5033104171.77,5309087440.59,3515329546.15,"$14,295,886,070.88 ","$9,734,941,000.40 ","$7,575,335,165.29 ","$3,202,663,109.00 "
201203,2012/03/26,"THE GOLDMAN SACHS GROUP, INC.","$138,314,526.84 ",5317830038.89,4237131404.84,4163009925.71,"$13,856,285,896.28 ","$8,555,616,682.79 ","$6,238,161,212.23 ","$2,977,098,116.00 "
201203,2012/03/27,MORGAN STANLEY,"$57,329,059.00 ",3733251002.85,5979934209.42,3753497742.80,"$13,524,012,014.07 ","$8,411,485,250.50 ","$3,125,166,412.65 ","$2,629,117,260.00 "
201203,2012/03/28,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,5334809363.58,4654426628.84,4820048112.50,"$14,809,284,104.92 ","$9,148,988,419.01 ","$6,069,373,824.34 ","$2,549,452,279.00 "
201203,2012/03/29,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,4747405337.12,5695903657.20,4464156622.03,"$14,907,465,616.35 ","$10,056,312,291.00 ","$6,873,875,241.79 ","$2,964,239,084.00 "
201203,2012/03/30,"THE GOLDMAN SACHS GROUP, INC.","$6,915,000.57 ",5748362376.74,5802460126.32,5812797734.87,"$17,370,535,238.50 ","$11,413,129,676.57 ","$7,103,349,601.96 ","$3,327,164,135.00 "
201204,2012/04/02,"THE GOLDMAN SACHS GROUP, INC.",$0.00 ,5919299553.30,6775583985.97,5315224212.13,"$18,010,107,751.40 ","$12,416,322,196.85 ","$7,786,760,166.45 ","$2,997,446,255.66 "
